,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
154,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,21,0.5103777647018433,0.45579999685287476
155,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,22,0.5209110975265503,0.4514000117778778
156,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,23,0.5180222392082214,0.45879998803138733
157,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,24,0.5219333171844482,0.4562000036239624
158,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,25,0.5217333436012268,0.46160000562667847
159,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,26,0.5288000106811523,0.46000000834465027
160,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,27,0.5351555347442627,0.46239998936653137
161,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,28,0.5390444397926331,0.47380000352859497
162,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,29,0.5447999835014343,0.46720001101493835
163,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,30,0.5509333610534668,0.4697999954223633
164,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,31,0.551622211933136,0.46860000491142273
165,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,32,0.5566222071647644,0.46560001373291016
166,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,33,0.5539110898971558,0.4699999988079071
167,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,34,0.5616222023963928,0.4781999886035919
168,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,35,0.5683333277702332,0.4745999872684479
169,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,36,0.5716888904571533,0.4765999913215637
170,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,37,0.572422206401825,0.4814000129699707
171,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,38,0.5797333121299744,0.48260000348091125
172,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,39,0.5826888680458069,0.4797999858856201
173,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,40,0.5833333134651184,0.47699999809265137
174,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,41,0.5933333039283752,0.48159998655319214
175,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,42,0.5878444314002991,0.4830000102519989
176,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,43,0.5957333445549011,0.487199991941452
177,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,44,0.6051555275917053,0.4887999892234802
178,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,45,0.5983111262321472,0.4875999987125397
179,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,46,0.6057555675506592,0.4943999946117401
180,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,47,0.6102889180183411,0.49079999327659607
181,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,48,0.6091777682304382,0.49239999055862427
182,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,49,0.6197333335876465,0.4934000074863434
183,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,50,0.6248000264167786,0.49559998512268066
184,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,51,0.622355580329895,0.4957999885082245
185,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,52,0.6293777823448181,0.5004000067710876
186,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,53,0.6349777579307556,0.5013999938964844
187,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,54,0.6309555768966675,0.49459999799728394
188,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,55,0.6291333436965942,0.5026000142097473
189,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,56,0.6380666494369507,0.49779999256134033
190,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,57,0.6477110981941223,0.49939998984336853
191,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,58,0.6468222141265869,0.5059999823570251
192,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,59,0.6486666798591614,0.5023999810218811
193,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,60,0.6535999774932861,0.4970000088214874
194,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,61,0.6500222086906433,0.4984000027179718
195,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,62,0.6600444316864014,0.5041999816894531
196,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,63,0.6631110906600952,0.5027999877929688
197,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,64,0.6654666662216187,0.4966000020503998
198,"[3072, 1000, 800]","[3, 8]","[0.03, 0.08]","[70, 35]",1,65,0.6606888771057129,0.4952000081539154
199,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,1,0.3256666660308838,0.32260000705718994
200,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,2,0.3269111216068268,0.2996000051498413
201,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,3,0.35482221841812134,0.34360000491142273
202,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,4,0.3587111234664917,0.3492000102996826
203,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,5,0.3553999960422516,0.33000001311302185
204,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,6,0.36248889565467834,0.3287999927997589
205,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,7,0.37700000405311584,0.3361999988555908
